MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Flugzeugbewegungen,Passagierflüge,2015,201512,25930,25619,-6.37,1.21,29630
Flugzeugbewegungen,Passagierflüge,2014,Summe,353326,358019,,-1.31,
Flugzeugbewegungen,Passagierflüge,2014,201401,25815,26076,-0.69,-1,29813
Flugzeugbewegungen,Passagierflüge,2014,201402,26633,26586,3.17,0.18,29817
Flugzeugbewegungen,Passagierflüge,2014,201403,30045,29506,12.81,1.83,29862
Flugzeugbewegungen,Passagierflüge,2014,201404,27866,29762,-7.25,-6.37,29704
Flugzeugbewegungen,Passagierflüge,2014,201405,31301,31643,12.33,-1.08,29676
Flugzeugbewegungen,Passagierflüge,2014,201406,31086,31906,-0.69,-2.57,29607
Flugzeugbewegungen,Passagierflüge,2014,201407,32130,32390,3.36,-0.8,29586
Flugzeugbewegungen,Passagierflüge,2014,201408,30150,30494,-6.16,-1.13,29557
Flugzeugbewegungen,Passagierflüge,2014,201409,32029,32346,6.23,-0.98,29530
Flugzeugbewegungen,Passagierflüge,2014,201410,31751,32316,-0.87,-1.75,29483
Flugzeugbewegungen,Passagierflüge,2014,201411,28901,29000,-8.98,-0.34,29475
Flugzeugbewegungen,Passagierflüge,2014,201412,25619,25994,-11.36,-1.44,29444
Flugzeugbewegungen,Passagierflüge,2013,Summe,358019,373168,,-4.06,
Flugzeugbewegungen,Passagierflüge,2013,201301,26076,28274,-1.69,-7.77,30914
Flugzeugbewegungen,Passagierflüge,2013,201302,26586,28427,1.96,-6.48,30761
Flugzeugbewegungen,Passagierflüge,2013,201303,29506,31778,10.98,-7.15,30571
Flugzeugbewegungen,Passagierflüge,2013,201304,29762,31099,0.87,-4.3,30460
Flugzeugbewegungen,Passagierflüge,2013,201305,31643,33324,6.32,-5.04,30320
Flugzeugbewegungen,Passagierflüge,2013,201306,31906,32881,0.83,-2.97,30239
Flugzeugbewegungen,Passagierflüge,2013,201307,32390,33507,1.52,-3.33,30146
Flugzeugbewegungen,Passagierflüge,2013,201308,30494,31327,-5.85,-2.66,30076
Flugzeugbewegungen,Passagierflüge,2013,201309,32346,32643,6.07,-0.91,30051
Flugzeugbewegungen,Passagierflüge,2013,201310,32316,33549,-0.09,-3.68,29949
Flugzeugbewegungen,Passagierflüge,2013,201311,29000,29835,-10.26,-2.8,29879
Flugzeugbewegungen,Passagierflüge,2013,201312,25994,26524,-10.37,-2,29835
Flugzeugbewegungen,Passagierflüge,2012,Summe,373168,384130,,-2.85,
Flugzeugbewegungen,Passagierflüge,2012,201201,28274,29260,0.34,-3.37,31929
Flugzeugbewegungen,Passagierflüge,2012,201202,28427,28679,0.54,-0.88,31908
Flugzeugbewegungen,Passagierflüge,2012,201203,31778,32638,11.79,-2.63,31836
Flugzeugbewegungen,Passagierflüge,2012,201204,31099,31996,-2.14,-2.8,31761
Flugzeugbewegungen,Passagierflüge,2012,201205,33324,34685,7.15,-3.92,31648
Flugzeugbewegungen,Passagierflüge,2012,201206,32881,32681,-1.33,0.61,31665
Flugzeugbewegungen,Passagierflüge,2012,201207,33507,34202,1.9,-2.03,31607
Flugzeugbewegungen,Passagierflüge,2012,201208,31327,33018,-6.51,-5.12,31466
Flugzeugbewegungen,Passagierflüge,2012,201209,32643,34053,4.2,-4.14,31348
Flugzeugbewegungen,Passagierflüge,2012,201210,33549,33933,2.78,-1.13,31316
Flugzeugbewegungen,Passagierflüge,2012,201211,29835,30808,-11.07,-3.16,31235
Flugzeugbewegungen,Passagierflüge,2012,201212,26524,28177,-11.1,-5.87,31097
Flugzeugbewegungen,Passagierflüge,2011,Summe,384130,364200,,5.47,
Flugzeugbewegungen,Passagierflüge,2011,201101,29260,25706,11.24,13.83,30646
Flugzeugbewegungen,Passagierflüge,2011,201102,28679,25538,-1.99,12.3,30908
Flugzeugbewegungen,Passagierflüge,2011,201103,32638,31098,13.8,4.95,31036
Flugzeugbewegungen,Passagierflüge,2011,201104,31996,25665,-1.97,24.67,31564
Flugzeugbewegungen,Passagierflüge,2011,201105,34685,32347,8.4,7.23,31759
Flugzeugbewegungen,Passagierflüge,2011,201106,32681,33062,-5.78,-1.15,31727
Flugzeugbewegungen,Passagierflüge,2011,201107,34202,33723,4.65,1.42,31767
Flugzeugbewegungen,Passagierflüge,2011,201108,33018,32114,-3.46,2.81,31842
Flugzeugbewegungen,Passagierflüge,2011,201109,34053,33682,3.13,1.1,31873
Flugzeugbewegungen,Passagierflüge,2011,201110,33933,34069,-0.35,-0.4,31862
Flugzeugbewegungen,Passagierflüge,2011,201111,30808,30892,-9.21,-0.27,31855
Flugzeugbewegungen,Passagierflüge,2011,201112,28177,26304,-8.54,7.12,32011
Flugzeugbewegungen,Passagierflüge,2010,Summe,364200,372722,,-2.29,
Flugzeugbewegungen,Passagierflüge,2010,201001,25706,27238,-4.99,-5.62,30933
Flugzeugbewegungen,Passagierflüge,2010,201002,25538,28208,-0.65,-9.47,30710
Flugzeugbewegungen,Passagierflüge,2010,201003,31098,32574,21.77,-4.53,30587
Flugzeugbewegungen,Passagierflüge,2010,201004,25665,31684,-17.47,-19,30085
Flugzeugbewegungen,Passagierflüge,2010,201005,32347,33121,26.04,-2.34,30021
Flugzeugbewegungen,Passagierflüge,2010,201006,33062,32422,2.21,1.97,30074
Flugzeugbewegungen,Passagierflüge,2010,201007,33723,32764,2,2.93,30154
Flugzeugbewegungen,Passagierflüge,2010,201008,32114,31288,-4.77,2.64,30223
Flugzeugbewegungen,Passagierflüge,2010,201009,33682,33036,4.88,1.96,30277
Flugzeugbewegungen,Passagierflüge,2010,201010,34069,33240,1.15,2.49,30346
Flugzeugbewegungen,Passagierflüge,2010,201011,30892,30092,-9.33,2.66,30413
Flugzeugbewegungen,Passagierflüge,2010,201012,26304,27055,-14.85,-2.78,30350
Flugzeugbewegungen,Passagierflüge,2009,Summe,372722,403203,,-7.56,
Flugzeugbewegungen,Passagierflüge,2009,200901,27238,30088,-3.67,-9.47,33363
Flugzeugbewegungen,Passagierflüge,2009,200902,28208,31578,3.56,-10.67,33082
Flugzeugbewegungen,Passagierflüge,2009,200903,32574,32970,15.48,-1.2,33049
Flugzeugbewegungen,Passagierflüge,2009,200904,31684,35207,-2.73,-10.01,32755
Flugzeugbewegungen,Passagierflüge,2009,200905,33121,36112,4.54,-8.28,32506
Flugzeugbewegungen,Passagierflüge,2009,200906,32422,35725,-2.11,-9.25,32231
Flugzeugbewegungen,Passagierflüge,2009,200907,32764,35283,1.05,-7.14,32021
Flugzeugbewegungen,Passagierflüge,2009,200908,31288,34121,-4.5,-8.3,31785
Flugzeugbewegungen,Passagierflüge,2009,200909,33036,36159,5.59,-8.64,31525
Flugzeugbewegungen,Passagierflüge,2009,200910,33240,35985,0.62,-7.63,31296
Flugzeugbewegungen,Passagierflüge,2009,200911,30092,31699,-9.47,-5.07,31162
Flugzeugbewegungen,Passagierflüge,2009,200912,27055,28276,-10.09,-4.32,31060
Flugzeugbewegungen,Passagierflüge,2008,Summe,403203,402400,,0.2,
Flugzeugbewegungen,Passagierflüge,2008,200801,30088,28637,-1.26,5.07,33654
Flugzeugbewegungen,Passagierflüge,2008,200802,31578,29756,4.95,6.12,33806
Flugzeugbewegungen,Passagierflüge,2008,200803,32970,33755,4.41,-2.33,33741
Flugzeugbewegungen,Passagierflüge,2008,200804,35207,32992,6.78,6.71,33925
Flugzeugbewegungen,Passagierflüge,2008,200805,36112,35585,2.57,1.48,33969
Flugzeugbewegungen,Passagierflüge,2008,200806,35725,34989,-1.07,2.1,34031
Flugzeugbewegungen,Passagierflüge,2008,200807,35283,36023,-1.24,-2.05,33969
Flugzeugbewegungen,Passagierflüge,2008,200808,34121,35052,-3.29,-2.66,33891
Flugzeugbewegungen,Passagierflüge,2008,200809,36159,35381,5.97,2.2,33956
Flugzeugbewegungen,Passagierflüge,2008,200810,35985,36042,-0.48,-0.16,33951
Flugzeugbewegungen,Passagierflüge,2008,200811,31699,33716,-11.91,-5.98,33783
Flugzeugbewegungen,Passagierflüge,2008,200812,28276,30472,-10.8,-7.21,33600
Flugzeugbewegungen,Passagierflüge,2007,Summe,402400,381938,,5.36,
Flugzeugbewegungen,Passagierflüge,2007,200701,28637,27996,-2.54,2.29,31882
Flugzeugbewegungen,Passagierflüge,2007,200702,29756,27598,3.91,7.82,32061
Flugzeugbewegungen,Passagierflüge,2007,200703,33755,31650,13.44,6.65,32237
Flugzeugbewegungen,Passagierflüge,2007,200704,32992,30778,-2.26,7.19,32421
Flugzeugbewegungen,Passagierflüge,2007,200705,35585,33904,7.86,4.96,32561
Flugzeugbewegungen,Passagierflüge,2007,200706,34989,33387,-1.67,4.8,32695
Flugzeugbewegungen,Passagierflüge,2007,200707,36023,34123,2.96,5.57,32853
Flugzeugbewegungen,Passagierflüge,2007,200708,35052,33473,-2.7,4.72,32985
Flugzeugbewegungen,Passagierflüge,2007,200709,35381,33891,0.94,4.4,33109
Flugzeugbewegungen,Passagierflüge,2007,200710,36042,33548,1.87,7.43,33317
Flugzeugbewegungen,Passagierflüge,2007,200711,33716,32208,-6.45,4.68,33443
Flugzeugbewegungen,Passagierflüge,2007,200712,30472,29382,-9.62,3.71,33533
Flugzeugbewegungen,Passagierflüge,2006,Summe,381938,369872,,3.26,
Flugzeugbewegungen,Passagierflüge,2006,200601,27996,25654,-0.15,9.13,31018
Flugzeugbewegungen,Passagierflüge,2006,200602,27598,26521,-1.42,4.06,31108
Flugzeugbewegungen,Passagierflüge,2006,200603,31650,30155,14.68,4.96,31232
Flugzeugbewegungen,Passagierflüge,2006,200604,30778,32103,-2.76,-4.13,31122
Flugzeugbewegungen,Passagierflüge,2006,200605,33904,32878,10.16,3.12,31207
Flugzeugbewegungen,Passagierflüge,2006,200606,33387,33261,-1.52,0.38,31218
Flugzeugbewegungen,Passagierflüge,2006,200607,34123,32697,2.2,4.36,31337
Flugzeugbewegungen,Passagierflüge,2006,200608,33473,32098,-1.9,4.28,31451
Flugzeugbewegungen,Passagierflüge,2006,200609,33891,33304,1.25,1.76,31500
Flugzeugbewegungen,Passagierflüge,2006,200610,33548,32616,-1.01,2.86,31578
Flugzeugbewegungen,Passagierflüge,2006,200611,32208,30548,-3.99,5.43,31716
Flugzeugbewegungen,Passagierflüge,2006,200612,29382,28037,-8.77,4.8,31828
Flugzeugbewegungen,Passagierflüge,2005,Summe,369872,355143,,4.15,
Flugzeugbewegungen,Passagierflüge,2005,200501,25654,25862,-3.57,-0.8,29578
Flugzeugbewegungen,Passagierflüge,2005,200502,26521,25864,3.38,2.54,29633
Flugzeugbewegungen,Passagierflüge,2005,200503,30155,28928,13.7,4.24,29735
Flugzeugbewegungen,Passagierflüge,2005,200504,32103,28488,6.46,12.69,30036
Flugzeugbewegungen,Passagierflüge,2005,200505,32878,30837,2.41,6.62,30206
Flugzeugbewegungen,Passagierflüge,2005,200506,33261,31055,1.16,7.1,30390
Flugzeugbewegungen,Passagierflüge,2005,200507,32697,31682,-1.7,3.2,30475
Flugzeugbewegungen,Passagierflüge,2005,200508,32098,31259,-1.83,2.68,30545
Flugzeugbewegungen,Passagierflüge,2005,200509,33304,32354,3.76,2.94,30624
Flugzeugbewegungen,Passagierflüge,2005,200510,32616,32136,-2.07,1.49,30664
Flugzeugbewegungen,Passagierflüge,2005,200511,30548,30074,-6.34,1.58,30703
Flugzeugbewegungen,Passagierflüge,2005,200512,28037,26604,-8.22,5.39,30823
Flugzeugbewegungen,Passagierflüge,2004,Summe,355143,328427,,8.13,
Flugzeugbewegungen,Passagierflüge,2004,200401,25862,26399,2.75,-2.03,27324
Flugzeugbewegungen,Passagierflüge,2004,200402,25864,24857,0.01,4.05,27408
Flugzeugbewegungen,Passagierflüge,2004,200403,28928,27981,11.85,3.38,27487
Flugzeugbewegungen,Passagierflüge,2004,200404,28488,27610,-1.52,3.18,27560
Flugzeugbewegungen,Passagierflüge,2004,200405,30837,28010,8.25,10.09,27796
Flugzeugbewegungen,Passagierflüge,2004,200406,31055,27631,0.71,12.39,28081
Flugzeugbewegungen,Passagierflüge,2004,200407,31682,28442,2.02,11.39,28351
Flugzeugbewegungen,Passagierflüge,2004,200408,31259,27968,-1.34,11.77,28625
Flugzeugbewegungen,Passagierflüge,2004,200409,32354,28282,3.5,14.4,28965
Flugzeugbewegungen,Passagierflüge,2004,200410,32136,28652,-0.67,12.16,29255
Flugzeugbewegungen,Passagierflüge,2004,200411,30074,27425,-6.42,9.66,29476
Flugzeugbewegungen,Passagierflüge,2004,200412,26604,25170,-11.54,5.7,29595
Flugzeugbewegungen,Passagierflüge,2003,Summe,328427,315567,,4.08,
Flugzeugbewegungen,Passagierflüge,2003,200301,26399,23962,7.73,10.17,26500
Flugzeugbewegungen,Passagierflüge,2003,200302,24857,22448,-5.84,10.73,26701
Flugzeugbewegungen,Passagierflüge,2003,200303,27981,25160,12.57,11.21,26936
Flugzeugbewegungen,Passagierflüge,2003,200304,27610,26122,-1.33,5.7,27060
Flugzeugbewegungen,Passagierflüge,2003,200305,28010,27085,1.45,3.42,27137
Flugzeugbewegungen,Passagierflüge,2003,200306,27631,26886,-1.35,2.77,27199
Flugzeugbewegungen,Passagierflüge,2003,200307,28442,28008,2.94,1.55,27236
Flugzeugbewegungen,Passagierflüge,2003,200308,27968,28285,-1.67,-1.12,27209
Flugzeugbewegungen,Passagierflüge,2003,200309,28282,28088,1.12,0.69,27225
Flugzeugbewegungen,Passagierflüge,2003,200310,28652,28313,1.31,1.2,27254
Flugzeugbewegungen,Passagierflüge,2003,200311,27425,26705,-4.28,2.7,27314
Flugzeugbewegungen,Passagierflüge,2003,200312,25170,24505,-8.22,2.71,27369
Flugzeugbewegungen,Passagierflüge,2002,Summe,315567,306331,,3.02,
Flugzeugbewegungen,Passagierflüge,2002,200201,23962,23469,9.06,2.1,25569
Flugzeugbewegungen,Passagierflüge,2002,200202,22448,21542,-6.32,4.21,25644
Flugzeugbewegungen,Passagierflüge,2002,200203,25160,25365,12.08,-0.81,25627
Flugzeugbewegungen,Passagierflüge,2002,200204,26122,25817,3.82,1.18,25653
Flugzeugbewegungen,Passagierflüge,2002,200205,27085,26959,3.69,0.47,25663
Flugzeugbewegungen,Passagierflüge,2002,200206,26886,26890,-0.73,-0.01,25663
Flugzeugbewegungen,Passagierflüge,2002,200207,28008,27887,4.17,0.43,25673
Flugzeugbewegungen,Passagierflüge,2002,200208,28285,27828,0.99,1.64,25711
Flugzeugbewegungen,Passagierflüge,2002,200209,28088,26803,-0.7,4.79,25818
Flugzeugbewegungen,Passagierflüge,2002,200210,28313,26875,0.8,5.35,25938
Flugzeugbewegungen,Passagierflüge,2002,200211,26705,24925,-5.68,7.14,26086
Flugzeugbewegungen,Passagierflüge,2002,200212,24505,21971,-8.24,11.53,26297
Flugzeugbewegungen,Passagierflüge,2001,Summe,306331,286382,,6.97,
Flugzeugbewegungen,Passagierflüge,2001,200101,23469,21461,7.39,9.36,24033
Flugzeugbewegungen,Passagierflüge,2001,200102,21542,21468,-8.21,0.34,24039
Flugzeugbewegungen,Passagierflüge,2001,200103,25365,23464,17.75,8.1,24197
Flugzeugbewegungen,Passagierflüge,2001,200104,25817,22929,1.78,12.6,24438
Flugzeugbewegungen,Passagierflüge,2001,200105,26959,24979,4.42,7.93,24603
Flugzeugbewegungen,Passagierflüge,2001,200106,26890,24593,-0.26,9.34,24794
Flugzeugbewegungen,Passagierflüge,2001,200107,27887,25255,3.71,10.42,25014
Flugzeugbewegungen,Passagierflüge,2001,200108,27828,25601,-0.21,8.7,25199
Flugzeugbewegungen,Passagierflüge,2001,200109,26803,25186,-3.68,6.42,25334
Flugzeugbewegungen,Passagierflüge,2001,200110,26875,25350,0.27,6.02,25461
Flugzeugbewegungen,Passagierflüge,2001,200111,24925,24241,-7.26,2.82,25518
Flugzeugbewegungen,Passagierflüge,2001,200112,21971,21855,-11.85,0.53,25528
Flugzeugbewegungen,Passagierflüge,2000,Summe,286382,,,,
Flugzeugbewegungen,Passagierflüge,2000,200001,21461,,,,21461
Flugzeugbewegungen,Passagierflüge,2000,200002,21468,,0.03,,21465
Flugzeugbewegungen,Passagierflüge,2000,200003,23464,,9.3,,22131
Flugzeugbewegungen,Passagierflüge,2000,200004,22929,,-2.28,,22331
Flugzeugbewegungen,Passagierflüge,2000,200005,24979,,8.94,,22860
Flugzeugbewegungen,Passagierflüge,2000,200006,24593,,-1.55,,23149
Flugzeugbewegungen,Passagierflüge,2000,200007,25255,,2.69,,23450
Flugzeugbewegungen,Passagierflüge,2000,200008,25601,,1.37,,23719
Flugzeugbewegungen,Passagierflüge,2000,200009,25186,,-1.62,,23882
Flugzeugbewegungen,Passagierflüge,2000,200010,25350,,0.65,,24029
Flugzeugbewegungen,Passagierflüge,2000,200011,24241,,-4.37,,24048
Flugzeugbewegungen,Passagierflüge,2000,200012,21855,,-9.84,,23865
Flugzeugbewegungen,Starts und Landungen insgesamt,2021,Summe,29162,146833,,-80.14,
Flugzeugbewegungen,Starts und Landungen insgesamt,2021,202101,5067,30886,-13.09,-83.59,10085
Flugzeugbewegungen,Starts und Landungen insgesamt,2021,202102,3620,29594,-28.56,-87.77,7920
Flugzeugbewegungen,Starts und Landungen insgesamt,2021,202103,5326,17531,47.13,-69.62,6903
Flugzeugbewegungen,Starts und Landungen insgesamt,2021,202104,6741,2034,26.57,231.42,7295
Flugzeugbewegungen,Starts und Landungen insgesamt,2021,202105,8408,2302,24.73,265.25,7804
Flugzeugbewegungen,Starts und Landungen insgesamt,2021,202106,,4813,,,
Flugzeugbewegungen,Starts und Landungen insgesamt,2021,202107,,10179,,,
Flugzeugbewegungen,Starts und Landungen insgesamt,2021,202108,,12483,,,
Flugzeugbewegungen,Starts und Landungen insgesamt,2021,202109,,12970,,,
Flugzeugbewegungen,Starts und Landungen insgesamt,2021,202110,,11557,,,
Flugzeugbewegungen,Starts und Landungen insgesamt,2021,202111,,6654,,,
Flugzeugbewegungen,Starts und Landungen insgesamt,2021,202112,,5830,,,
Flugzeugbewegungen,Starts und Landungen insgesamt,2020,Summe,146833,417138,,-64.8,
Flugzeugbewegungen,Starts und Landungen insgesamt,2020,202001,30886,31477,0.67,-1.88,34712
Flugzeugbewegungen,Starts und Landungen insgesamt,2020,202002,29594,30118,-4.18,-1.74,34669
Flugzeugbewegungen,Starts und Landungen insgesamt,2020,202003,17531,34506,-40.76,-49.19,33254
Flugzeugbewegungen,Starts und Landungen insgesamt,2020,202004,2034,34320,-88.4,-94.07,30564
Flugzeugbewegungen,Starts und Landungen insgesamt,2020,202005,2302,37727,13.18,-93.9,27611
Flugzeugbewegungen,Starts und Landungen insgesamt,2020,202006,4813,36682,109.08,-86.88,24956
Flugzeugbewegungen,Starts und Landungen insgesamt,2020,202007,10179,37921,111.49,-73.16,22644
Flugzeugbewegungen,Starts und Landungen insgesamt,2020,202008,12483,36370,22.63,-65.68,20653
Flugzeugbewegungen,Starts und Landungen insgesamt,2020,202009,12970,38110,3.9,-65.97,18558
Flugzeugbewegungen,Starts und Landungen insgesamt,2020,202010,11557,37554,-10.89,-69.23,16392
Flugzeugbewegungen,Starts und Landungen insgesamt,2020,202011,6654,31673,-42.42,-78.99,14307
Flugzeugbewegungen,Starts und Landungen insgesamt,2020,202012,5830,30680,-12.38,-81,12236
Flugzeugbewegungen,Starts und Landungen insgesamt,2019,Summe,417138,413469,,0.89,
Flugzeugbewegungen,Starts und Landungen insgesamt,2019,201901,31477,30491,-0.41,3.23,34538
Flugzeugbewegungen,Starts und Landungen insgesamt,2019,201902,30118,29419,-4.32,2.38,34596
Flugzeugbewegungen,Starts und Landungen insgesamt,2019,201903,34506,33229,14.57,3.84,34703
Flugzeugbewegungen,Starts und Landungen insgesamt,2019,201904,34320,33718,-0.54,1.79,34753
Flugzeugbewegungen,Starts und Landungen insgesamt,2019,201905,37727,35968,9.93,4.89,34899
Flugzeugbewegungen,Starts und Landungen insgesamt,2019,201906,36682,36509,-2.77,0.47,34914
Flugzeugbewegungen,Starts und Landungen insgesamt,2019,201907,37921,37289,3.38,1.69,34966
Flugzeugbewegungen,Starts und Landungen insgesamt,2019,201908,36370,36131,-4.09,0.66,34986
Flugzeugbewegungen,Starts und Landungen insgesamt,2019,201909,38110,37569,4.78,1.44,35031
Flugzeugbewegungen,Starts und Landungen insgesamt,2019,201910,37554,37967,-1.46,-1.09,34997
Flugzeugbewegungen,Starts und Landungen insgesamt,2019,201911,31673,33572,-15.66,-5.66,34839
Flugzeugbewegungen,Starts und Landungen insgesamt,2019,201912,30680,31607,-3.14,-2.93,34762
Flugzeugbewegungen,Starts und Landungen insgesamt,2018,Summe,413469,404505,,2.22,
Flugzeugbewegungen,Starts und Landungen insgesamt,2018,201801,30491,29670,4.04,2.77,33777
Flugzeugbewegungen,Starts und Landungen insgesamt,2018,201802,29419,29500,-3.52,-0.27,33770
Flugzeugbewegungen,Starts und Landungen insgesamt,2018,201803,33229,33824,12.95,-1.76,33721
Flugzeugbewegungen,Starts und Landungen insgesamt,2018,201804,33718,33120,1.47,1.81,33771
Flugzeugbewegungen,Starts und Landungen insgesamt,2018,201805,35968,36656,6.67,-1.88,33713
Flugzeugbewegungen,Starts und Landungen insgesamt,2018,201806,36509,36100,1.5,1.13,33747
Flugzeugbewegungen,Starts und Landungen insgesamt,2018,201807,37289,36695,2.14,1.62,33797
Flugzeugbewegungen,Starts und Landungen insgesamt,2018,201808,36131,34697,-3.11,4.13,33916
Flugzeugbewegungen,Starts und Landungen insgesamt,2018,201809,37569,36964,3.98,1.64,33967
Flugzeugbewegungen,Starts und Landungen insgesamt,2018,201810,37967,36206,1.06,4.86,34114
Flugzeugbewegungen,Starts und Landungen insgesamt,2018,201811,33572,31765,-11.58,5.69,34264
Flugzeugbewegungen,Starts und Landungen insgesamt,2018,201812,31607,29308,-5.85,7.84,34456
Flugzeugbewegungen,Starts und Landungen insgesamt,2017,Summe,404505,394430,,2.55,
Flugzeugbewegungen,Starts und Landungen insgesamt,2017,201701,29670,27658,-0.5,7.27,33037
Flugzeugbewegungen,Starts und Landungen insgesamt,2017,201702,29500,29373,-0.57,0.43,33047
Flugzeugbewegungen,Starts und Landungen insgesamt,2017,201703,33824,31326,14.66,7.97,33256
Flugzeugbewegungen,Starts und Landungen insgesamt,2017,201704,33120,32493,-2.08,1.93,33308
Flugzeugbewegungen,Starts und Landungen insgesamt,2017,201705,36656,34403,10.68,6.55,33496
Flugzeugbewegungen,Starts und Landungen insgesamt,2017,201706,36100,35854,-1.52,0.69,33516
Flugzeugbewegungen,Starts und Landungen insgesamt,2017,201707,36695,35802,1.65,2.49,33591
Flugzeugbewegungen,Starts und Landungen insgesamt,2017,201708,34697,34019,-5.44,1.99,33647
Flugzeugbewegungen,Starts und Landungen insgesamt,2017,201709,36964,36692,6.53,0.74,33670
Flugzeugbewegungen,Starts und Landungen insgesamt,2017,201710,36206,36338,-2.05,-0.36,33659
Flugzeugbewegungen,Starts und Landungen insgesamt,2017,201711,31765,30652,-12.27,3.63,33751
Flugzeugbewegungen,Starts und Landungen insgesamt,2017,201712,29308,29820,-7.73,-1.72,33709
Flugzeugbewegungen,Starts und Landungen insgesamt,2016,Summe,394430,379911,,3.82,
Flugzeugbewegungen,Starts und Landungen insgesamt,2016,201601,27658,27730,-0.19,-0.26,31653
Flugzeugbewegungen,Starts und Landungen insgesamt,2016,201602,29373,27988,6.2,4.95,31769
Flugzeugbewegungen,Starts und Landungen insgesamt,2016,201603,31326,31524,6.65,-0.63,31752
Flugzeugbewegungen,Starts und Landungen insgesamt,2016,201604,32493,31591,3.73,2.86,31827
Flugzeugbewegungen,Starts und Landungen insgesamt,2016,201605,34403,33573,5.88,2.47,31897
Flugzeugbewegungen,Starts und Landungen insgesamt,2016,201606,35854,34028,4.22,5.37,32049
Flugzeugbewegungen,Starts und Landungen insgesamt,2016,201607,35802,34453,-0.15,3.92,32161
Flugzeugbewegungen,Starts und Landungen insgesamt,2016,201608,34019,32570,-4.98,4.45,32282
Flugzeugbewegungen,Starts und Landungen insgesamt,2016,201609,36692,34399,7.86,6.67,32473
Flugzeugbewegungen,Starts und Landungen insgesamt,2016,201610,36338,34611,-0.96,4.99,32617
Flugzeugbewegungen,Starts und Landungen insgesamt,2016,201611,30652,29732,-15.65,3.09,32694
Flugzeugbewegungen,Starts und Landungen insgesamt,2016,201612,29820,27712,-2.71,7.61,32869
Flugzeugbewegungen,Starts und Landungen insgesamt,2015,Summe,379911,376678,,0.86,
Flugzeugbewegungen,Starts und Landungen insgesamt,2015,201501,27730,27648,1.72,0.3,31397
Flugzeugbewegungen,Starts und Landungen insgesamt,2015,201502,27988,28394,0.93,-1.43,31363
Flugzeugbewegungen,Starts und Landungen insgesamt,2015,201503,31524,32030,12.63,-1.58,31321
Flugzeugbewegungen,Starts und Landungen insgesamt,2015,201504,31591,29789,0.21,6.05,31471
Flugzeugbewegungen,Starts und Landungen insgesamt,2015,201505,33573,33263,6.27,0.93,31497
Flugzeugbewegungen,Starts und Landungen insgesamt,2015,201506,34028,33203,1.36,2.48,31565
Flugzeugbewegungen,Starts und Landungen insgesamt,2015,201507,34453,34205,1.25,0.73,31586
Flugzeugbewegungen,Starts und Landungen insgesamt,2015,201508,32570,31843,-5.47,2.28,31647
Flugzeugbewegungen,Starts und Landungen insgesamt,2015,201509,34399,34238,5.62,0.47,31660
Flugzeugbewegungen,Starts und Landungen insgesamt,2015,201510,34611,33939,0.62,1.98,31716
Flugzeugbewegungen,Starts und Landungen insgesamt,2015,201511,29732,30866,-14.1,-3.67,31622
Flugzeugbewegungen,Starts und Landungen insgesamt,2015,201512,27712,27260,-6.79,1.66,31659
Flugzeugbewegungen,Starts und Landungen insgesamt,2014,Summe,376678,381951,,-1.38,
Flugzeugbewegungen,Starts und Landungen insgesamt,2014,201401,27648,27833,0.44,-0.66,31814
Flugzeugbewegungen,Starts und Landungen insgesamt,2014,201402,28394,28356,2.7,0.13,31817
Flugzeugbewegungen,Starts und Landungen insgesamt,2014,201403,32030,31552,12.81,1.51,31857
Flugzeugbewegungen,Starts und Landungen insgesamt,2014,201404,29789,31863,-7,-6.51,31684
Flugzeugbewegungen,Starts und Landungen insgesamt,2014,201405,33263,33645,11.66,-1.14,31652
Flugzeugbewegungen,Starts und Landungen insgesamt,2014,201406,33203,34216,-0.18,-2.96,31568
Flugzeugbewegungen,Starts und Landungen insgesamt,2014,201407,34205,34619,3.02,-1.2,31533
Flugzeugbewegungen,Starts und Landungen insgesamt,2014,201408,31843,32273,-6.91,-1.33,31497
Flugzeugbewegungen,Starts und Landungen insgesamt,2014,201409,34238,34635,7.52,-1.15,31464
Flugzeugbewegungen,Starts und Landungen insgesamt,2014,201410,33939,34499,-0.87,-1.62,31418
Flugzeugbewegungen,Starts und Landungen insgesamt,2014,201411,30866,30932,-9.05,-0.21,31412
Flugzeugbewegungen,Starts und Landungen insgesamt,2014,201412,27260,27528,-11.68,-0.97,31390
Flugzeugbewegungen,Starts und Landungen insgesamt,2013,Summe,381951,398039,,-4.04,
Flugzeugbewegungen,Starts und Landungen insgesamt,2013,201301,27833,30354,-1.26,-8.31,32960
Flugzeugbewegungen,Starts und Landungen insgesamt,2013,201302,28356,30583,1.88,-7.28,32774
Flugzeugbewegungen,Starts und Landungen insgesamt,2013,201303,31552,33913,11.27,-6.96,32578
Flugzeugbewegungen,Starts und Landungen insgesamt,2013,201304,31863,32929,0.99,-3.24,32489
Flugzeugbewegungen,Starts und Landungen insgesamt,2013,201305,33645,35838,5.59,-6.12,32306
Flugzeugbewegungen,Starts und Landungen insgesamt,2013,201306,34216,35032,1.7,-2.33,32238
