Gebietsartschlüssel;Gebietsnummer;Stimmbezirksart;Wahlberechtigte gesamt;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler gesamt;Wähler mit Wahlschein;Ungültige Stimmen;Anzahl CSU;Anteil CSU;Anzahl SPD;Anteil SPD;Anzahl GRÜNE;Anteil GRÜNE;Anzahl FDP;Anteil FDP;Anzahl AfD;Anteil AfD;Anzahl DIE LINKE;Anteil DIE LINKE;Anzahl FREIE WÄHLER;Anteil FREIE WÄHLER;Anzahl PIRATEN;Anteil PIRATEN;Anzahl ÖDP;Anteil ÖDP;Anzahl BP;Anteil BP;Anzahl NPD;Anteil NPD;Anzahl Tierschutzpartei;Anteil Tierschutzpartei;Anzahl MLPD;Anteil MLPD;Anzahl BüSo;Anteil BüSo;Anzahl BGE;Anteil BGE;Anzahl DiB;Anteil DiB;Anzahl DKP;Anteil DKP;Anzahl DM;Anteil DM;Anzahl Die PARTEI;Anteil Die PARTEI;Anzahl Gesundheitsforschung;Anteil Gesundheitsforschung;Anzahl V-Partei³;Anteil V-Partei³
BTSB;2;21;32221;19049;13167;5;12312;12312;30;3200;26,05439 %;1541;12,54682 %;3013;24,53184 %;2271;18,49047 %;463;3,76974 %;1188;9,67269 %;81;0,65950 %;47;0,38267 %;63;0,51295 %;21;0,17098 %;5;0,04071 %;74;0,60251 %;4;0,03257 %;3;0,02443 %;39;0,31754 %;66;0,53737 %;5;0,04071 %;6;0,04885 %;155;1,26201 %;6;0,04885 %;31;0,25240 %
BTSB;3;21;34632;19983;14645;4;13623;13623;19;3897;28,64599 %;1775;13,04763 %;2904;21,34666 %;2844;20,90562 %;560;4,11644 %;986;7,24787 %;103;0,75713 %;46;0,33814 %;130;0,95560 %;27;0,19847 %;5;0,03675 %;72;0,52926 %;3;0,02205 %;3;0,02205 %;22;0,16172 %;57;0,41899 %;2;0,01470 %;11;0,08086 %;116;0,85269 %;8;0,05881 %;33;0,24258 %
BTSB;4;21;45881;27631;18249;1;17116;17116;38;5014;29,35941 %;2602;15,23598 %;3436;20,11945 %;3074;17,99977 %;820;4,80150 %;1245;7,29008 %;158;0,92517 %;75;0,43916 %;151;0,88418 %;47;0,27521 %;5;0,02928 %;124;0,72608 %;7;0,04099 %;2;0,01171 %;53;0,31034 %;58;0,33962 %;3;0,01757 %;14;0,08198 %;131;0,76707 %;18;0,10540 %;41;0,24007 %
BTSB;5;21;39651;23853;15797;1;14573;14573;51;3855;26,54593 %;2040;14,04765 %;3525;24,27352 %;2328;16,03085 %;665;4,57926 %;1278;8,80044 %;122;0,84010 %;54;0,37185 %;144;0,99160 %;44;0,30299 %;11;0,07575 %;120;0,82633 %;7;0,04820 %;3;0,02066 %;29;0,19970 %;73;0,50269 %;11;0,07575 %;17;0,11706 %;155;1,06735 %;9;0,06197 %;32;0,22036 %
BTSB;6;21;25650;16150;9498;2;8939;8939;20;2407;26,98733 %;1350;15,13623 %;2007;22,50252 %;1099;12,32201 %;521;5,84146 %;919;10,30385 %;125;1,40150 %;36;0,40363 %;75;0,84090 %;38;0,42606 %;7;0,07848 %;91;1,02029 %;5;0,05606 %;1;0,01121 %;29;0,32515 %;55;0,61666 %;3;0,03364 %;13;0,14576 %;102;1,14363 %;8;0,08970 %;28;0,31394 %
BTSB;7;21;35813;23377;12436;0;11734;11734;28;3829;32,70972 %;1872;15,99180 %;2002;17,10234 %;1513;12,92500 %;860;7,34666 %;885;7,56023 %;158;1,34974 %;42;0,35879 %;115;0,98240 %;65;0,55527 %;10;0,08543 %;115;0,98240 %;3;0,02563 %;1;0,00854 %;25;0,21357 %;51;0,43567 %;0;0,00000 %;7;0,05980 %;126;1,07637 %;14;0,11960 %;13;0,11105 %
BTSB;8;21;16391;10667;5724;0;5321;5321;13;1211;22,81462 %;793;14,93971 %;1319;24,84928 %;719;13,54559 %;255;4,80407 %;632;11,90656 %;59;1,11153 %;36;0,67822 %;39;0,73474 %;18;0,33911 %;7;0,13188 %;52;0,97965 %;1;0,01884 %;3;0,05652 %;15;0,28259 %;45;0,84778 %;2;0,03768 %;6;0,11304 %;77;1,45064 %;4;0,07536 %;15;0,28259 %
BTSB;9;21;63111;38527;24580;4;23046;23046;67;7061;30,72806 %;3467;15,08769 %;4385;19,08264 %;3612;15,71870 %;1311;5,70521 %;1765;7,68093 %;280;1,21850 %;78;0,33944 %;246;1,07054 %;108;0,46999 %;10;0,04352 %;203;0,88342 %;2;0,00870 %;9;0,03917 %;46;0,20018 %;94;0,40907 %;2;0,00870 %;30;0,13055 %;189;0,82249 %;24;0,10444 %;57;0,24805 %
BTSB;10;21;30732;20834;9897;1;9318;9318;32;3134;33,74973 %;1501;16,16412 %;1238;13,33190 %;1215;13,08421 %;884;9,51971 %;663;7,13978 %;155;1,66918 %;38;0,40922 %;89;0,95843 %;78;0,83997 %;12;0,12923 %;101;1,08766 %;2;0,02154 %;0;0,00000 %;22;0,23692 %;22;0,23692 %;0;0,00000 %;17;0,18307 %;83;0,89382 %;12;0,12923 %;20;0,21538 %
BTSB;11;21;36441;26135;10306;0;9645;9645;32;3039;31,61344 %;1608;16,72735 %;1407;14,63643 %;1308;13,60657 %;839;8,72776 %;717;7,45865 %;141;1,46676 %;54;0,56174 %;103;1,07147 %;74;0,76979 %;8;0,08322 %;91;0,94663 %;7;0,07282 %;1;0,01040 %;22;0,22886 %;35;0,36409 %;3;0,03121 %;17;0,17684 %;110;1,14428 %;10;0,10403 %;19;0,19765 %
BTSB;12;21;45689;28449;17238;2;16153;16153;40;5072;31,47769 %;2279;14,14386 %;2691;16,70080 %;3074;19,07776 %;1078;6,69025 %;1040;6,45442 %;198;1,22882 %;62;0,38478 %;148;0,91851 %;53;0,32893 %;6;0,03724 %;110;0,68268 %;2;0,01241 %;1;0,00621 %;32;0,19860 %;46;0,28548 %;1;0,00621 %;26;0,16136 %;157;0,97437 %;16;0,09930 %;21;0,13033 %
BTSB;13;21;55239;34017;21221;1;20009;20009;52;7251;36,33312 %;2664;13,34870 %;2780;13,92995 %;3936;19,72240 %;1340;6,71444 %;993;4,97570 %;220;1,10237 %;55;0,27559 %;179;0,89693 %;83;0,41589 %;9;0,04510 %;139;0,69650 %;3;0,01503 %;0;0,00000 %;36;0,18039 %;58;0,29062 %;4;0,02004 %;13;0,06514 %;135;0,67645 %;18;0,09019 %;41;0,20544 %
BTSB;14;21;25719;17246;8473;0;7994;7994;22;2781;34,88460 %;1247;15,64225 %;1090;13,67285 %;1033;12,95785 %;708;8,88108 %;538;6,74862 %;132;1,65580 %;33;0,41395 %;75;0,94079 %;74;0,92825 %;11;0,13798 %;86;1,07878 %;0;0,00000 %;2;0,02509 %;21;0,26342 %;26;0,32614 %;2;0,02509 %;7;0,08781 %;74;0,92825 %;8;0,10035 %;24;0,30105 %
