Gebietsartschlüssel;Gebietsnummer;Stimmbezirksart;Wahlberechtigte gesamt;Wahlberechtigte ohne Wahlschein;Wahlberechtigte mit Wahlschein;Wahlberechtigte nicht im Wählerverzeichnis;Wähler gesamt;Wähler mit Wahlschein;Ungültige Stimmen;Anzahl CSU;Anteil CSU;Anzahl SPD;Anteil SPD;Anzahl GRÜNE;Anteil GRÜNE;Anzahl FDP;Anteil FDP;Anzahl AfD;Anteil AfD;Anzahl DIE LINKE;Anteil DIE LINKE;Anzahl FREIE WÄHLER;Anteil FREIE WÄHLER;Anzahl PIRATEN;Anteil PIRATEN;Anzahl ÖDP;Anteil ÖDP;Anzahl BP;Anteil BP;Anzahl NPD;Anteil NPD;Anzahl Tierschutzpartei;Anteil Tierschutzpartei;Anzahl MLPD;Anteil MLPD;Anzahl BüSo;Anteil BüSo;Anzahl BGE;Anteil BGE;Anzahl DiB;Anteil DiB;Anzahl DKP;Anteil DKP;Anzahl DM;Anteil DM;Anzahl Die PARTEI;Anteil Die PARTEI;Anzahl Gesundheitsforschung;Anteil Gesundheitsforschung;Anzahl V-Partei³;Anteil V-Partei³
BTSB;12;1;45689;28449;17238;2;35917;16438;129;10402;29,06561 %;5549;15,50520 %;6114;17,08394 %;6163;17,22086 %;2880;8,04739 %;2766;7,72885 %;357;0,99754 %;152;0,42472 %;301;0,84106 %;149;0,41634 %;21;0,05868 %;229;0,63988 %;8;0,02235 %;5;0,01397 %;69;0,19280 %;126;0,35207 %;10;0,02794 %;51;0,14251 %;350;0,97798 %;27;0,07544 %;59;0,16486 %
BTSB;13;1;55239;34017;21221;1;44847;20350;142;15039;33,64053 %;6597;14,75674 %;6540;14,62924 %;8071;18,05391 %;3647;8,15792 %;2698;6,03512 %;426;0,95291 %;143;0,31987 %;356;0,79633 %;183;0,40935 %;28;0,06263 %;300;0,67107 %;11;0,02461 %;3;0,00671 %;76;0,17000 %;122;0,27290 %;5;0,01118 %;49;0,10961 %;297;0,66436 %;32;0,07158 %;82;0,18342 %
BTSB;14;1;25719;17246;8473;0;18898;8072;79;5721;30,40013 %;3321;17,64706 %;2661;14,13996 %;2248;11,94537 %;2049;10,88793 %;1579;8,39046 %;276;1,46660 %;83;0,44104 %;143;0,75987 %;145;0,77050 %;21;0,11159 %;187;0,99368 %;7;0,03720 %;9;0,04782 %;37;0,19661 %;50;0,26569 %;7;0,03720 %;30;0,15941 %;179;0,95117 %;21;0,11159 %;45;0,23912 %
BTSB;15;1;43154;28730;14424;0;34836;13893;145;12509;36,05834 %;5123;14,76752 %;4890;14,09588 %;5064;14,59745 %;3113;8,97351 %;1983;5,71618 %;475;1,36923 %;146;0,42086 %;286;0,82442 %;191;0,55058 %;30;0,08648 %;309;0,89072 %;10;0,02883 %;8;0,02306 %;61;0,17584 %;101;0,29114 %;9;0,02594 %;38;0,10954 %;254;0,73218 %;24;0,06918 %;67;0,19313 %
BTSB;16;1;61792;43009;18780;3;44879;17923;239;14249;31,91980 %;8298;18,58871 %;5653;12,66353 %;4984;11,16487 %;4927;11,03719 %;3578;8,01523 %;627;1,40457 %;246;0,55108 %;394;0,88262 %;295;0,66084 %;57;0,12769 %;422;0,94534 %;34;0,07616 %;13;0,02912 %;87;0,19489 %;129;0,28898 %;18;0,04032 %;99;0,22177 %;404;0,90502 %;51;0,11425 %;75;0,16801 %
BTSB;17;1;31409;20722;10684;3;23733;10126;108;6180;26,15873 %;4090;17,31217 %;4317;18,27302 %;2693;11,39894 %;2158;9,13439 %;2488;10,53122 %;362;1,53228 %;119;0,50370 %;195;0,82540 %;152;0,64339 %;28;0,11852 %;218;0,92275 %;29;0,12275 %;8;0,03386 %;55;0,23280 %;91;0,38519 %;7;0,02963 %;49;0,20741 %;291;1,23175 %;20;0,08466 %;75;0,31746 %
BTSB;18;1;34561;21448;13110;3;27602;12534;89;7913;28,76095 %;4125;14,99291 %;5568;20,23771 %;3851;13,99702 %;2005;7,28746 %;2515;9,14113 %;243;0,88322 %;106;0,38527 %;246;0,89412 %;102;0,37073 %;20;0,07269 %;233;0,84687 %;14;0,05089 %;6;0,02181 %;79;0,28714 %;110;0,39981 %;7;0,02544 %;47;0,17083 %;252;0,91593 %;18;0,06542 %;53;0,19264 %
BTSB;19;1;58982;37732;21248;2;46917;20389;188;15315;32,77408 %;7196;15,39943 %;6950;14,87299 %;7066;15,12123 %;4420;9,45879 %;3275;7,00850 %;559;1,19626 %;165;0,35310 %;409;0,87526 %;238;0,50932 %;37;0,07918 %;340;0,72760 %;8;0,01712 %;17;0,03638 %;70;0,14980 %;107;0,22898 %;7;0,01498 %;55;0,11770 %;365;0,78110 %;41;0,08774 %;89;0,19046 %
BTSB;20;1;30310;20351;9958;1;23803;9547;100;8080;34,08851 %;3856;16,26798 %;3253;13,72400 %;3125;13,18399 %;2266;9,55997 %;1695;7,15099 %;284;1,19816 %;104;0,43876 %;203;0,85643 %;162;0,68346 %;17;0,07172 %;216;0,91128 %;8;0,03375 %;9;0,03797 %;47;0,19829 %;87;0,36704 %;2;0,00844 %;33;0,13922 %;190;0,80159 %;27;0,11391 %;39;0,16454 %
BTSB;21;1;46944;30073;16870;1;38319;16213;147;12600;33,00849 %;5959;15,61092 %;6407;16,78455 %;5565;14,57875 %;3076;8,05826 %;2568;6,72744 %;389;1,01907 %;125;0,32747 %;361;0,94572 %;193;0,50561 %;28;0,07335 %;270;0,70732 %;9;0,02358 %;11;0,02882 %;72;0,18862 %;111;0,29079 %;10;0,02620 %;42;0,11003 %;276;0,72304 %;40;0,10479 %;60;0,15718 %
BTSB;22;1;27150;18999;8151;0;20923;7847;131;7509;36,11485 %;3431;16,50154 %;2471;11,88438 %;2378;11,43709 %;2322;11,16776 %;1336;6,42555 %;286;1,37553 %;112;0,53867 %;186;0,89457 %;186;0,89457 %;29;0,13948 %;190;0,91381 %;7;0,03367 %;9;0,04329 %;31;0,14910 %;58;0,27895 %;11;0,05290 %;39;0,18757 %;136;0,65410 %;20;0,09619 %;45;0,21643 %
BTSB;23;1;20349;13382;6967;0;16530;6696;48;6311;38,29026 %;2467;14,96784 %;2124;12,88679 %;2165;13,13554 %;1568;9,51341 %;904;5,48477 %;193;1,17097 %;63;0,38224 %;133;0,80694 %;154;0,93435 %;18;0,10921 %;123;0,74627 %;1;0,00607 %;8;0,04854 %;28;0,16988 %;48;0,29123 %;0;0,00000 %;31;0,18808 %;106;0,64313 %;11;0,06674 %;26;0,15775 %
BTSB;24;1;33061;23751;9310;0;23726;8856;134;8010;33,95219 %;4090;17,33639 %;2566;10,87657 %;2689;11,39793 %;3111;13,18667 %;1646;6,97694 %;351;1,48779 %;105;0,44507 %;153;0,64852 %;203;0,86046 %;35;0,14836 %;221;0,93676 %;12;0,05086 %;14;0,05934 %;43;0,18227 %;63;0,26704 %;8;0,03391 %;45;0,19074 %;157;0,66548 %;35;0,14836 %;35;0,14836 %
BTSB;25;1;35116;22797;12317;2;27129;11737;139;7940;29,41830 %;4623;17,12857 %;4466;16,54687 %;3055;11,31901 %;2444;9,05521 %;2581;9,56280 %;343;1,27084 %;117;0,43349 %;248;0,91886 %;185;0,68544 %;39;0,14450 %;296;1,09670 %;11;0,04076 %;12;0,04446 %;49;0,18155 %;103;0,38162 %;17;0,06299 %;37;0,13709 %;327;1,21156 %;35;0,12968 %;62;0,22971 %
BTSB;162;1;923612;594743;328833;36;724991;314378;2850;216444;29,97254 %;116764;16,16914 %;124365;17,22171 %;102643;14,21371 %;60414;8,36596 %;59758;8,27512 %;7918;1,09646 %;3053;0,42277 %;6073;0,84097 %;3779;0,52331 %;607;0,08406 %;5911;0,81854 %;289;0,04002 %;202;0,02797 %;1521;0,21062 %;2457;0,34024 %;184;0,02548 %;1035;0,14332 %;6644;0,92004 %;669;0,09264 %;1411;0,19539 %
