MONATSZAHL,AUSPRAEGUNG,JAHR,MONAT,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT
Besucher*innen,insgesamt,2015,201511,487763,400232,21.2,21.87,369804
Besucher*innen,insgesamt,2015,201512,445382,435450,-8.69,2.28,370631
Besucher*innen,insgesamt,2014,Summe,4290731,4418292,,-2.89,
Besucher*innen,insgesamt,2014,201401,467745,474371,5.87,-1.4,367639
Besucher*innen,insgesamt,2014,201402,350384,400680,-25.09,-12.55,363448
Besucher*innen,insgesamt,2014,201403,393133,380941,12.2,3.2,364464
Besucher*innen,insgesamt,2014,201404,329415,252930,-16.21,30.24,370837
Besucher*innen,insgesamt,2014,201405,299775,412618,-9,-27.35,361434
Besucher*innen,insgesamt,2014,201406,198531,308784,-33.77,-35.71,352246
Besucher*innen,insgesamt,2014,201407,309390,299422,55.84,3.33,353077
Besucher*innen,insgesamt,2014,201408,458715,346058,48.26,32.55,362465
Besucher*innen,insgesamt,2014,201409,300425,275948,-34.51,8.87,364504
Besucher*innen,insgesamt,2014,201410,347536,344067,15.68,1.01,364794
Besucher*innen,insgesamt,2014,201411,400232,480673,15.16,-16.74,358090
Besucher*innen,insgesamt,2014,201412,435450,441800,8.8,-1.44,357561
Besucher*innen,insgesamt,2013,Summe,4418292,4601114,,-3.97,
Besucher*innen,insgesamt,2013,201301,474371,507594,8.59,-6.55,380658
Besucher*innen,insgesamt,2013,201302,400680,424237,-15.53,-5.55,378695
Besucher*innen,insgesamt,2013,201303,380941,361706,-4.93,5.32,380297
Besucher*innen,insgesamt,2013,201304,252930,400408,-33.6,-36.83,368008
Besucher*innen,insgesamt,2013,201305,412618,307867,63.14,34.02,376737
Besucher*innen,insgesamt,2013,201306,308784,225704,-25.16,36.81,383660
Besucher*innen,insgesamt,2013,201307,299422,402051,-3.03,-25.53,375108
Besucher*innen,insgesamt,2013,201308,346058,373759,15.58,-7.41,372799
Besucher*innen,insgesamt,2013,201309,275948,302707,-20.26,-8.84,370569
Besucher*innen,insgesamt,2013,201310,344067,351548,24.69,-2.13,369946
Besucher*innen,insgesamt,2013,201311,480673,506696,39.7,-5.14,367777
Besucher*innen,insgesamt,2013,201312,441800,436837,-8.09,1.14,368191
Besucher*innen,insgesamt,2012,Summe,4601114,4448931,,3.42,
Besucher*innen,insgesamt,2012,201201,507594,448441,21.08,13.19,375674
Besucher*innen,insgesamt,2012,201202,424237,398006,-16.42,6.59,377860
Besucher*innen,insgesamt,2012,201203,361706,405966,-14.74,-10.9,374171
Besucher*innen,insgesamt,2012,201204,400408,274640,10.7,45.79,384652
Besucher*innen,insgesamt,2012,201205,307867,264538,-23.11,16.38,388263
