"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","81,92","","","","","","","","","","","2002","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","81,51","","","","","","","","","","","2002","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","83,07","","","","","","","","","","","2002","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","82,35","","","","","","","","","","","2002","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","81,02","","","","","","","","","","","2002","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","76,12","","","","","","","","","","","2002","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","83,73","","","","","","","","","","","2002","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","81,91","","","","","","","","","","","2002","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","83,94","","","","","","","","","","","2002","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","77,33","","","","","","","","","","","2002","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","79,88","","","","","","","","","","","2002","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","81,86","","","","","","","","","","","2002","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","74,57","","","","","","","","","","","2002","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","83,32","","","","","","","","","","","2002","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","80,76","","","","","","","","","","","2002","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","74,98","","","","","","","","","","","2002","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","80,24","","","","","","","","","","","2002","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","77,69","","","","","","","","","","","2002","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","77,93","","","","","","","","","","","2002","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","79,6","","","","","","","","","","","2002","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","83,56","","","","","","","","","","","2002","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","85,2","","","","","","","","","","","2002","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","77,7","","","","","","","","","","","2002","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","75,52","","","","","","","","","","","2002","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","75,95","","","","","","","","","","","2002","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","72,93","","","","","","","","","","","2002","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","81,72","","","","","","","","","","","2002","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","81,51","","","","","","","","","","","2002","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","76,92","","","","","","","","","","","2002","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","80,6","","","","","","","","","","","2002","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","81,89","","","","","","","","","","","2002","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","82,77","","","","","","","","","","","2002","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","83,08","","","","","","","","","","","2002","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","74,92","","","","","","","","","","","2002","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","76,62","","","","","","","","","","","2002","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","76,82","","","","","","","","","","","2002","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","92,31","","","","","","","","","","","2002","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","73,41","","","","","","","","","","","2002","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","80,93","","","","","","","","","","","2002","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","79,01","","","","","","","","","","","2002","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","83,46","","","","","","","","","","","2002","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","78,23","","","","","","","","","","","2002","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","83,91","","","","","","","","","","","2002","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","75,38","","","","","","","","","","","2002","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","81,72","","","","","","","","","","","2002","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","79,8","","","","","","","","","","","2002","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","82,02","","","","","","","","","","","2002","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","75,33","","","","","","","","","","","2002","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","83,43","","","","","","","","","","","2002","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","81,29","","","","","","","","","","","2002","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","81,3","","","","","","","","","","","2002","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","82,68","","","","","","","","","","","2002","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","81,93","","","","","","","","","","","2002","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","81,69","","","","","","","","","","","2002","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","80,89","","","","","","","","","","","2002","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","75,35","","","","","","","","","","","2002","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","77,38","","","","","","","","","","","2002","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","74,96","","","","","","","","","","","2002","Stadtbezirk","25","25 Laim"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","74,78","","","","","","","","","","","2002","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","77,1","","","","","","","","","","","2002","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","77,2","","","","","","","","","","","2002","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","82,38","","","","","","","","","","","2002","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","84,26","","","","","","","","","","","2002","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","78,98","","","","","","","","","","","2002","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","79,71","","","","","","","","","","","2002","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","76,38","","","","","","","","","","","2002","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","75,76","","","","","","","","","","","2002","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","82,46","","","","","","","","","","","2002","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","76,19","","","","","","","","","","","2002","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","81,92","","","","","","","","","","","2002","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","77,04","","","","","","","","","","","2002","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","81,12","","","","","","","","","","","2002","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","82,94","","","","","","","","","","","2002","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","80,56","","","","","","","","","","","2002","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","75,51","","","","","","","","","","","2002","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","75,96","","","","","","","","","","","2002","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","77,23","","","","","","","","","","","2002","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","76,28","","","","","","","","","","","2002","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","79,58","","","","","","","","","","","2002","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","74,91","","","","","","","","","","","2002","Stadtbezirk","25","25 Laim"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","79,83","","","","","","","","","","","2002","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","81,15","","","","","","","","","","","2002","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","79,89","","","","","","","","","","","2002","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","81,19","","","","","","","","","","","2002","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","74,76","","","","","","","","","","","2002","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","81,92","","","","","","","","","","","2002","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","80,56","","","","","","","","","","","2002","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","73,69","","","","","","","","","","","2002","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","75,83","","","","","","","","","","","2002","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","71,87","","","","","","","","","","","2002","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","76,49","","","","","","","","","","","2002","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","75,8","","","","","","","","","","","2002","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","83,93","","","","","","","","","","","2002","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","75,02","","","","","","","","","","","2002","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","81,07","","","","","","","","","","","2002","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","81,5","","","","","","","","","","","2002","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","75,98","","","","","","","","","","","2002","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","73,21","","","","","","","","","","","2002","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","82,96","","","","","","","","","","","2002","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","87,77","","","","","","","","","","","2002","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","81,79","","","","","","","","","","","2002","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","86,42","","","","","","","","","","","2002","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","82,04","","","","","","","","","","","2002","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","85,78","","","","","","","","","","","2002","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","81,62","","","","","","","","","","","2002","Stadtbezirk","25","25 Laim"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","85,41","","","","","","","","","","","2002","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","78,59","","","","","","","","","","","2002","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","82,25","","","","","","","","","","","2002","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","75,61","","","","","","","","","","","2002","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","76,61","","","","","","","","","","","2002","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","81,17","","","","","","","","","","","2002","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","74,66","","","","","","","","","","","2002","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","74,31","","","","","","","","","","","2002","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","77,27","","","","","","","","","","","2002","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","81,98","","","","","","","","","","","2002","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","79,47","","","","","","","","","","","2002","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","75,22","","","","","","","","","","","2002","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","74,95","","","","","","","","","","","2002","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","83,57","","","","","","","","","","","2002","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","81,66","","","","","","","","","","","2002","Stadtbezirk","25","25 Laim"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","82,06","","","","","","","","","","","2002","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","83,61","","","","","","","","","","","2002","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","82,06","","","","","","","","","","","2002","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","77,14","","","","","","","","","","","2002","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","81,91","","","","","","","","","","","2002","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","77,13","","","","","","","","","","","2002","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","74,13","","","","","","","","","","","2002","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","82,28","","","","","","","","","","","2002","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","89,19","","","","","","","","","","","2002","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","70,25","","","","","","","","","","","2002","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","79,64","","","","","","","","","","","2002","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","78,34","","","","","","","","","","","2002","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","82,13","","","","","","","","","","","2002","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","76,68","","","","","","","","","","","2002","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","78,16","","","","","","","","","","","2002","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","77,62","","","","","","","","","","","2002","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","76,09","","","","","","","","","","","2002","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","78,57","","","","","","","","","","","2002","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","75,08","","","","","","","","","","","2002","Stadtbezirk","25","25 Laim"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","80,76","","","","","","","","","","","2002","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","81,03","","","","","","","","","","","2002","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","83,78","","","","","","","","","","","2002","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","81,11","","","","","","","","","","","2002","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","80,88","","","","","","","","","","","2002","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","81,61","","","","","","","","","","","2002","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","76,87","","","","","","","","","","","2002","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","79,12","","","","","","","","","","","2002","Stadtbezirk","25","25 Laim"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","80,95","","","","","","","","","","","2002","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","81,18","","","","","","","","","","","2002","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","78,52","","","","","","","","","","","2002","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","74,57","","","","","","","","","","","2002","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","78,55","","","","","","","","","","","2002","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","76,11","","","","","","","","","","","2002","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","81,7","","","","","","","","","","","2002","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","80,46","","","","","","","","","","","2002","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","74,3","","","","","","","","","","","2002","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","75,25","","","","","","","","","","","2003","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","73,49","","","","","","","","","","","2003","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","75,89","","","","","","","","","","","2003","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","77,55","","","","","","","","","","","2003","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","79,53","","","","","","","","","","","2003","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","76,48","","","","","","","","","","","2003","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","77,56","","","","","","","","","","","2003","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","78,72","","","","","","","","","","","2003","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","76,07","","","","","","","","","","","2003","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","76,42","","","","","","","","","","","2003","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","77,24","","","","","","","","","","","2003","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-gesamt","82,14","","","","","","","","","","","2003","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","82,07","","","","","","","","","","","2003","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","76,57","","","","","","","","","","","2003","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","83,46","","","","","","","","","","","2003","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-ausländisch","84,82","","","","","","","","","","","2003","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","81,38","","","","","","","","","","","2003","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","79,28","","","","","","","","","","","2003","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","74,37","","","","","","","","","","","2003","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","81,91","","","","","","","","","","","2003","Stadtbezirk","25","25 Laim"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","75,14","","","","","","","","","","","2003","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","75,77","","","","","","","","","","","2003","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Mittlere Lebenserwartung","männlich-deutsch","77,26","","","","","","","","","","","2003","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Mittlere Lebenserwartung","weiblich-deutsch","81,47","","","","","","","","","","","2003","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Mittlere Lebenserwartung","männlich-gesamt","76,63","","","","","","","","","","","2003","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","77,4","","","","","","","","","","","2003","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Mittlere Lebenserwartung","männlich-ausländisch","83,28","","","","","","","","","","","2003","Stadtbezirk","15","15 Trudering - Riem"
