GENESIS-Tabelle: 46421-0009
Starts, Landungen (Flight Stage): Deutschland, Monate,;;;;;;;;;;;;;;;
Berichtsflughafen;;;;;;;;;;;;;;;
Verkehrsleistungsstatistik im Luftverkehr;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;
;;;;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021;2021
;;;;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
F-STR;Stuttgart;Starts;Anzahl;795;912;1104;1294;1322;1780;2640;3347;3294;...;...;...
F-STR;Stuttgart;Landungen;Anzahl;710;796;1015;1208;1256;1735;2563;3293;3307;...;...;...
F-GWT;Sylt-Westerland;Starts;Anzahl;-;-;-;-;-;-;-;-;-;...;...;...
F-GWT;Sylt-Westerland;Landungen;Anzahl;-;-;-;-;-;-;-;-;-;...;...;...
F-ZQW;Zweibrücken;Starts;Anzahl;-;-;-;-;-;-;-;-;-;...;...;...
F-ZQW;Zweibrücken;Landungen;Anzahl;-;-;-;-;-;-;-;-;-;...;...;...
;Insgesamt;Starts;Anzahl;20798;18713;24207;28282;30601;39442;56336;58725;60264;...;...;...
;Insgesamt;Landungen;Anzahl;20663;18600;23901;28171;30467;39261;56045;58993;60365;...;...;...
__________
© Statistisches Bundesamt (Destatis), 2021
Stand: 02.11.2021 / 19:59:52
